City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Discription
69,Cape Town,ZA,-33.9258,18.4232,77.41,23,0,11.72,clear sky
70,Aklavik,CA,68.2191,-135.0107,33.8,80,40,6.91,scattered clouds
71,Weiden,DE,49.6775,12.1567,66.61,91,90,1.01,moderate rain
72,Cidreira,BR,-30.1811,-50.2056,64.04,80,100,8.21,overcast clouds
73,Saint-Raphael,HT,19.4333,-72.2,78.17,63,55,6.64,broken clouds
74,Kindu,CD,-2.95,25.95,75.72,85,100,2.77,overcast clouds
75,Kaitangata,NZ,-46.2817,169.8464,44.2,85,73,2.04,broken clouds
76,Volodarskiy,RU,46.4013,48.5409,76.98,38,48,9.19,scattered clouds
77,Birao,CF,10.2849,22.7882,89.69,45,45,6.55,scattered clouds
78,Yerofey Pavlovich,RU,53.9667,121.9667,55.38,63,57,0.25,broken clouds
79,Guerrero Negro,MX,27.9769,-114.0611,66.78,67,81,4.9,broken clouds
80,Turukhansk,RU,65.8167,87.9833,36.41,84,87,2.62,overcast clouds
81,Punta Arenas,CL,-53.15,-70.9167,37.51,87,0,9.33,clear sky
82,Rorvik,NO,64.8621,11.2373,59.11,82,75,11.5,light rain
83,Cherskiy,RU,68.75,161.3,59.2,52,38,12.35,scattered clouds
84,Baykit,RU,61.67,96.37,33.84,72,16,1.43,few clouds
85,Inhambane,MZ,-23.865,35.3833,69.78,64,40,5.01,scattered clouds
86,Port Blair,IN,11.6667,92.75,84.24,77,95,13.15,overcast clouds
87,Codrington,AU,-38.2667,141.9667,55.17,72,100,16.84,overcast clouds
88,Viedma,AR,-40.8135,-62.9967,53.01,39,100,10.25,overcast clouds
89,Souillac,MU,-20.5167,57.5167,74.35,88,40,9.8,light rain
90,Chokurdakh,RU,70.6333,147.9167,34.36,90,100,8.01,light rain
91,Anadyr,RU,64.75,177.4833,43.3,65,20,4.0,few clouds
92,Umm Bab,QA,25.2142,50.8072,100.08,61,0,13.78,clear sky
93,Vila Velha,BR,-20.3297,-40.2925,81.97,67,40,5.99,scattered clouds
94,Ewa Beach,US,21.3156,-158.0072,75.15,74,1,10.0,light rain
95,Khatanga,RU,71.9667,102.5,34.21,86,99,4.97,overcast clouds
96,Benjamin Constant,BR,-4.3831,-70.0311,78.93,89,75,2.64,broken clouds
97,Stromness,GB,58.965,-3.296,58.96,78,87,6.51,overcast clouds
98,Port Elizabeth,ZA,-33.918,25.5701,73.69,18,0,4.61,clear sky
99,Zyryanka,RU,65.75,150.85,46.38,76,35,20.65,scattered clouds
100,Bandarbeyla,SO,9.4942,50.8122,80.82,80,4,29.68,clear sky
101,Jamestown,US,42.097,-79.2353,82.02,54,1,10.0,clear sky
102,Katangli,RU,51.7102,143.2326,38.55,93,100,14.52,overcast clouds
103,Boyolangu,ID,-8.1181,111.8935,75.7,93,60,2.24,broken clouds
104,Kadnikov,RU,59.5022,40.338,73.26,54,11,1.23,few clouds
105,Hobart,AU,-42.8794,147.3294,53.26,86,75,1.01,broken clouds
106,Norsup,VU,-16.0667,167.3833,75.78,82,62,7.31,broken clouds
107,Dakoro,NE,14.5106,6.765,105.15,14,66,15.75,broken clouds
108,Avarua,CK,-21.2078,-159.775,68.05,77,90,3.44,overcast clouds
109,Sola,VU,-13.8833,167.55,79.41,77,36,13.09,scattered clouds
110,Abancay,PE,-13.6339,-72.8814,65.12,58,82,4.36,broken clouds
111,Pochutla,MX,15.7432,-96.4661,90.82,52,92,3.2,overcast clouds
112,Hermanus,ZA,-34.4187,19.2345,64.8,45,9,7.25,clear sky
113,Cabo San Lucas,MX,22.8909,-109.9124,97.81,51,43,5.01,scattered clouds
114,Makakilo City,US,21.3469,-158.0858,73.72,75,1,5.75,clear sky
115,Narsaq,GL,60.9167,-46.05,57.42,67,100,4.72,overcast clouds
116,Polonnaruwa,LK,7.9333,81.0,80.29,73,100,8.34,overcast clouds
117,Naze,JP,28.3667,129.4833,68.52,92,100,5.91,overcast clouds
118,Ginda,IN,30.6945,78.4932,62.53,72,93,5.44,overcast clouds
