City_ID,City,Country,Max Temp,Current Discription,Lat,Lng,Hotel Name
620,Maragogi,BR,80.85,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
625,Puerto Leguizamo,CO,85.77,overcast clouds,-0.1934,-74.7819,la casona de juancho
626,Nurobod,UZ,86.85,overcast clouds,40.9056,69.8023,"""CASA CORITA"""
628,Caraballeda,VE,82.47,broken clouds,10.6112,-66.8522,Hotel 15 Letras
639,Axim,GH,83.71,light rain,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
642,Harper,LR,81.93,light rain,4.375,-7.7169,Screensaver
644,Humaita,BR,86.88,broken clouds,-7.5061,-63.0208,Corrêa Hotel
646,Monrovia,LR,80.37,moderate rain,6.3005,-10.7969,Sunset Inn
647,Farmington,US,85.1,clear sky,36.7281,-108.2187,Courtyard by Marriott Farmington
648,Riachao Das Neves,BR,89.13,broken clouds,-11.7461,-44.91,Casa Costa
654,Manzanillo,CU,85.28,few clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
655,Boa Vista,BR,85.98,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
656,Hambantota,LK,82.74,clear sky,6.1241,81.1185,Bungalow 63
662,Ishigaki,JP,81.0,light rain,24.3448,124.1572,Hotel Peace Land Ishigakijima
663,Zomin,UZ,87.49,broken clouds,39.9606,68.3958,Orol hotel
666,Riviera Beach,US,89.08,scattered clouds,26.7753,-80.0581,Marriott's Ocean Pointe
667,Iralaya,HN,86.09,scattered clouds,15.0,-83.2333,Iglesia morava renovada
672,Exu,BR,80.87,overcast clouds,-7.5119,-39.7242,Pousada Albuquerque
673,Kollam,IN,82.27,overcast clouds,8.8833,76.6,Nani Hotels and Resorts
676,Hilton Head Island,US,86.11,overcast clouds,32.2163,-80.7526,Disney’s Hilton Head Island Resort
677,Abu Samrah,SY,80.17,clear sky,35.3029,37.1841,"""CASA CORITA"""
689,Bubaque,GW,80.1,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
690,Pandan Niog,PH,83.55,broken clouds,6.2282,120.5631,"""CASA CORITA"""
697,Jala,MX,84.02,overcast clouds,21.0833,-104.4333,"""CASA CORITA"""
